,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
742,Phase 1,conventional control loop,11/13/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.514224045,8686.80931,1.09647638,ICC
765,Phase 1,transition loops (Phase 1),11/13/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.454264654,12728.4667,1.06761382,ICC
150,NA,"full-scale
distribution system
",3/1/18,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.755064401,20318.9153,1.04716827,TCC
797,Phase 1,conventional feedwater,11/13/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.449464626,27201.7507,1.00332179,ICC
930,Phase 1,advanced feedwater,11/13/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.886813341,396175.871,1.02152898,ICC
112,Phase 1,transition loops (Phase 1),11/16/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Between_Batch,0.180520985,11905.5881,1.05564621,TCC
117,Phase 1,conventional control loop,11/16/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Between_Batch,0.344181531,13208.7185,1.00922035,TCC
158,NA,"full-scale
distribution system
",2/9/18,not applicable,bulkwater_grab,site_10,DWDS_F,NA,0.027213952,22579.4694,1.12667644,TCC
205,Phase 1,transition loops (Phase 1),11/16/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Between_Batch,0.459277357,39652.63,1.03500906,TCC
253,Phase 1,advanced blend loops,11/16/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Between_Batch,0.07605193,70534.3281,1.0218485,TCC
304,Phase 1,conventional feedwater,11/16/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Between_Batch,0.255481183,122844.343,1.2046931,TCC
470,Phase 1,advanced blend loops,11/16/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Between_Batch,0.008528042,1305479.19,1.00706718,TCC
611,Phase 1,transition loops (Phase 1),11/16/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Between_Batch,0.180520985,2149.20849,1.1524749,ICC
164,NA,"full-scale
distribution system
",3/1/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.880199437,24340.4792,1.15417732,TCC
686,Phase 1,conventional control loop,11/16/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Between_Batch,0.344181531,4546.19695,1.01398651,ICC
699,Phase 1,advanced blend loops,11/16/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Between_Batch,0.07605193,5364.27176,1.05567721,ICC
758,Phase 1,advanced blend loops,11/16/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Between_Batch,0.008528042,11133.1816,1.03658092,ICC
783,Phase 1,transition loops (Phase 1),11/16/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Between_Batch,0.459277357,18211.5551,1.06698035,ICC
169,NA,"full-scale
distribution system
",2/9/18,not applicable,bulkwater_grab,site_9,DWDS_F,NA,0.065944281,26105.1537,1.08327559,TCC
804,Phase 1,conventional feedwater,11/16/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Between_Batch,0.255481183,31384.4181,1.09929169,ICC
94,Phase 1,transition loops (Phase 1),11/20/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.442880091,7644.19859,1.08561026,TCC
135,Phase 1,conventional control loop,11/20/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.51744745,17147.9681,1.13247888,TCC
206,Phase 1,transition loops (Phase 1),11/20/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.538790932,41010.2869,1.0414559,TCC
175,NA,"full-scale
distribution system
",2/9/18,not applicable,bulkwater_grab,site_1,DWDS_F,NA,0.030989776,27844.0871,1.11085111,TCC
176,NA,"full-scale
distribution system
",4/26/18,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.767435335,27884.377,1.04617258,TCC
223,Phase 1,advanced blend loops,11/20/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.067351226,50641.8354,1.01173744,TCC
267,Phase 1,advanced feedwater,11/20/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.823005355,82077.6669,1.0513011,TCC
399,Phase 1,conventional feedwater,11/20/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.487333985,268930.721,1.00633102,TCC
457,Phase 1,advanced blend loops,11/20/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.006068407,817996.12,1.01132869,TCC
659,Phase 1,transition loops (Phase 1),11/20/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.442880091,3385.46337,1.04316221,ICC
187,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_19,DWDS_F,NA,0.652315372,31837.6854,1.01688747,TCC
660,Phase 1,advanced blend loops,11/20/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.067351226,3410.78969,1.20084238,ICC
692,Phase 1,advanced blend loops,11/20/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.006068407,4963.93343,1.08303335,ICC
746,Phase 1,conventional control loop,11/20/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.51744745,8873.17237,1.13119008,ICC
794,Phase 1,transition loops (Phase 1),11/20/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.538790932,22095.9707,1.07391336,ICC
194,NA,"full-scale
distribution system
",2/9/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.231859188,34029.1774,1.04760922,TCC
839,Phase 1,advanced feedwater,11/20/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.823005355,67550.3594,1.13697986,ICC
196,NA,"full-scale
distribution system
",2/9/18,not applicable,bulkwater_grab,site_16,DWDS_F,NA,0.468656174,35141.7265,1.25893202,TCC
868,Phase 1,conventional feedwater,11/20/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.487333985,131059.08,1.07795468,ICC
179,Phase 1,conventional control loop,11/27/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.587968776,28500.259,1.01191179,TCC
183,Phase 1,advanced blend loops,11/27/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.016944467,30129.369,1.03516227,TCC
